Account,Category,Amount,from_date,to_date,account_line_type
Staff Amenities,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Subscriptions,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Travel - National,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,11 York Street Eltham,0.0,2024-03-01,2024-03-31,Other
Sales,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Income
Contractors,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,150 St Helena Road Briar Hill,618.03,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
License & Permits,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Superannuation,150 St Helena Road Briar Hill,127.58,2024-03-01,2024-03-31,Other
Wages and Salaries,150 St Helena Road Briar Hill,1159.85,2024-03-01,2024-03-31,Other
Total Cost of Sales,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Income
Gross Profit,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Advertising,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Bank Fees,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Depreciation,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Entertainment,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Interest Expense,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Office Expenses,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Subscriptions,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Travel - National,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,150 St Helena Road Briar Hill,0.0,2024-03-01,2024-03-31,Other
Sales,23 You Yangs Rd Dromana,100727.27,2024-03-01,2024-03-31,Income
Total Trading Income,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Income
Contractors,23 You Yangs Rd Dromana,55905.54,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,23 You Yangs Rd Dromana,59788.2,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
License & Permits,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Superannuation,23 You Yangs Rd Dromana,130.19,2024-03-01,2024-03-31,Other
Wages and Salaries,23 You Yangs Rd Dromana,1183.57,2024-03-01,2024-03-31,Other
Total Cost of Sales,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Income
Gross Profit,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Advertising,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Bank Fees,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Depreciation,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Entertainment,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Interest Expense,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Office Expenses,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Subscriptions,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Travel - National,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,23 You Yangs Rd Dromana,0.0,2024-03-01,2024-03-31,Other
Sales,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Income
Contractors,3 Kinnear Court Montmorency,7316.73,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,3 Kinnear Court Montmorency,30.3,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,3 Kinnear Court Montmorency,850.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
License & Permits,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Superannuation,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Wages and Salaries,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Total Cost of Sales,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Income
Gross Profit,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Advertising,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Bank Fees,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Depreciation,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Entertainment,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Interest Expense,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Office Expenses,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Subscriptions,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Travel - National,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,3 Kinnear Court Montmorency,0.0,2024-03-01,2024-03-31,Other
Sales,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Income
Contractors,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,365 Kangaroo Ground-Warrandyte North Warrandyte,4161.7,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
License & Permits,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Superannuation,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Wages and Salaries,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Total Cost of Sales,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Income
Gross Profit,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Advertising,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Bank Fees,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Depreciation,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Entertainment,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Interest Expense,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Office Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Subscriptions,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Travel - National,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,365 Kangaroo Ground-Warrandyte North Warrandyte,0.0,2024-03-01,2024-03-31,Other
Sales,4 Penrose Court MillPark,72312.97,2024-03-01,2024-03-31,Income
Total Trading Income,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Income
Contractors,4 Penrose Court MillPark,92487.89,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,4 Penrose Court MillPark,18633.58,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
License & Permits,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Superannuation,4 Penrose Court MillPark,739.04,2024-03-01,2024-03-31,Other
Wages and Salaries,4 Penrose Court MillPark,7247.33,2024-03-01,2024-03-31,Other
Total Cost of Sales,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Income
Gross Profit,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Advertising,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Bank Fees,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Depreciation,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Entertainment,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Interest Expense,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Office Expenses,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Subscriptions,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Travel - National,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,4 Penrose Court MillPark,0.0,2024-03-01,2024-03-31,Other
Sales,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Income
Contractors,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,405 Huntly Fosterville Rd Bagshot,1736.0,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
License & Permits,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Superannuation,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Wages and Salaries,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Total Cost of Sales,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Income
Gross Profit,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Advertising,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Bank Fees,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Depreciation,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Entertainment,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Interest Expense,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Office Expenses,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Subscriptions,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Travel - National,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,405 Huntly Fosterville Rd Bagshot,0.0,2024-03-01,2024-03-31,Other
Sales,44 Silver St Eltham,138761.29,2024-03-01,2024-03-31,Income
Total Trading Income,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Income
Contractors,44 Silver St Eltham,-7500.19,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,44 Silver St Eltham,35387.28,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
License & Permits,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Superannuation,44 Silver St Eltham,1030.86,2024-03-01,2024-03-31,Other
Wages and Salaries,44 Silver St Eltham,9371.43,2024-03-01,2024-03-31,Other
Total Cost of Sales,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Income
Gross Profit,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Advertising,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Bank Fees,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Depreciation,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Entertainment,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Interest Expense,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Office Expenses,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Subscriptions,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Travel - National,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,44 Silver St Eltham,0.0,2024-03-01,2024-03-31,Other
Sales,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Income
Contractors,6-8 Nokes Court,151733.97,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,6-8 Nokes Court,38265.96,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
License & Permits,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Superannuation,6-8 Nokes Court,684.24,2024-03-01,2024-03-31,Other
Wages and Salaries,6-8 Nokes Court,7117.0,2024-03-01,2024-03-31,Other
Total Cost of Sales,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Income
Gross Profit,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Advertising,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Bank Fees,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Depreciation,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Entertainment,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,6-8 Nokes Court,2531.82,2024-03-01,2024-03-31,Other
Insurance - Business,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Interest Expense,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Office Expenses,6-8 Nokes Court,1931.82,2024-03-01,2024-03-31,Other
Staff Amenities,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Subscriptions,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Travel - National,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,6-8 Nokes Court,0.0,2024-03-01,2024-03-31,Other
Sales,7 Huntingfield Ct Eltham,3145.0,2024-03-01,2024-03-31,Income
Total Trading Income,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Income
Contractors,7 Huntingfield Ct Eltham,63056.97,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,7 Huntingfield Ct Eltham,24330.86,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
License & Permits,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Superannuation,7 Huntingfield Ct Eltham,1372.39,2024-03-01,2024-03-31,Other
Wages and Salaries,7 Huntingfield Ct Eltham,14686.46,2024-03-01,2024-03-31,Other
Total Cost of Sales,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Income
Gross Profit,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Advertising,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Bank Fees,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Depreciation,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Entertainment,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Interest Expense,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Office Expenses,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Subscriptions,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Travel - National,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,7 Huntingfield Ct Eltham,0.0,2024-03-01,2024-03-31,Other
Sales,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Income
Contractors,7 Mooltan Place Eltham,36275.69,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,7 Mooltan Place Eltham,17696.53,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
License & Permits,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Superannuation,7 Mooltan Place Eltham,908.31,2024-03-01,2024-03-31,Other
Wages and Salaries,7 Mooltan Place Eltham,9129.24,2024-03-01,2024-03-31,Other
Total Cost of Sales,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Income
Gross Profit,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Advertising,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Bank Fees,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Consulting & Accounting,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Depreciation,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Entertainment,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Hire Equipment,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Insurance - Business,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Interest Expense,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Motor Vehicle Expenses,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Office Expenses,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Amenities,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Staff Education/Training,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Subscriptions,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Telephone & Internet,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Travel - National,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Workcover Expenses,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Total Operating Expenses,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Operating Expenses
Net Profit,7 Mooltan Place Eltham,0.0,2024-03-01,2024-03-31,Other
Sales,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Income
Total Trading Income,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Income
Contractors,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Cost of Sales
Cost of Goods Sold,7 Wilnua Court Briar Hill,499.0,2024-03-01,2024-03-31,Cost of Sales
Hire of Equipment/Tools,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Cost of Sales
Insurance - Warranty,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Other
License & Permits,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Other
Superannuation,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Other
Wages and Salaries,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Other
Total Cost of Sales,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Income
Gross Profit,7 Wilnua Court Briar Hill,0.0,2024-03-01,2024-03-31,Other
